CT20,total_park_acres
"552602",15.967226
"552800",8.342267
"553000",1.185186
"553100",38.86268
"553201",12.872604
"553202",3.096317
"553300",0.066049
"553400",8.087502
"553502",15.576308
"553503",6.776302
"553504",0.107207
"553601",7.981939
"553701",6.465083
"553702",11.696056
"553801",2.160936
"553901",7.320344
"554002",0.719558
"554105",0.10396
"554106",0.178749
"554203",0.77051
"554204",12.733671
"554302",2.155636
"554403",2.978726
"554511",5.17206
"554512",32.65291
"554513",4.018304
"554514",0.824035
"554515",5.146159
"554516",1.499274
"554517",16.641347
"554518",3.855259
"554519",93.364032
"554521",16.106452
"554522",39.2418
"554700",9.038694
"554801",2.130484
"554900",14.789461
"555001",30.327969
"555002",11.63768
"555105",35.100188
"555106",0.032991
"555211",0.949992
"555212",0.537435
"570202",3.627537
"570204",7.465019
"570303",14.515813
"570304",0.286838
"570305",14.479189
"570402",7.177152
"570504",26.147572
"570602",3.087411
"570603",5.842163
"570701",0.010783
"570703",6.905108
"570800",17.427837
"570901",13.667114
"570902",9.96435
"571000",29.019358
"571101",15.484763
"571202",11.971295
"571300",9.985563
"571502",25.113231
"571504",9.940829
"571600",3.633234
"571701",1.016912
"571704",4.044258
"571800",9.527204
"571900",4.02373
"572201",0.001032
"572202",13.023123
"572301",1.623705
"573003",3.841249
"573102",1.118621
"573201",0.456949
"573202",0.138321
"573300",31.995604
"573401",4.305865
"573402",10.536033
"573403",27.116005
"573601",89.355908
"573700",39.04387
"573902",0.123716
"574201",4.62542
"574202",31.200779
"574400",117.475206
"574500",0.064989
"574602",7.390284
"574800",1.397411
"574901",12.360229
"575101",1.208616
"575102",3.782872
"575103",0.808487
"575201",6.475808
"575300",0.727182
"575401",3.179389
"575402",1.213837
"575801",14.220597
"575803",0.075789
"575901",17.364794
"576001",79.821769
"576200",0.203493
"576401",0.330425
"576501",1.35479
"576502",0.138098
"576601",26.397489
"576602",28.546535
"576700",11.310999
"576801",0.405872
"576903",0.291867
"576904",0.573662
"577000",64.827562
"577200",8.840454
"577300",69.186036
"577400",1.753002
"577501",11.003207
"577504",5.761083
"577602",5.277833
"577604",1.193448
"577605",28.291643
"577606",38.385158
"577700",11.726474
"577800",22.487286
"577900",8.513905
"578000",25.247492
"578100",0.525073
"599000",3.897057
"599100",2.186624
"600100",1.630092
"600202",0.591547
"600303",0.078945
"600702",0.489941
"600704",13.417048
"600801",1.317397
"600911",2.310463
"600912",50.692884
"601001",1.17788
"601211",1.073686
"601302",13.872171
"601401",1.663261
"601402",1.956295
"601600",5.635724
"602002",0.154121
"602003",2.186115
"602106",4.133477
"602201",9.322304
"602301",1.741381
"602302",6.711726
"602402",1.694011
"602505",8.705508
"602511",1.650922
"602513",13.487152
"602601",18.12705
"602700",10.588426
"602802",9.066844
"602900",2.923531
"603004",0.127383
"603005",1.856897
"603007",3.164843
"603008",3.453059
"603102",18.737634
"603301",5.826846
