intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
16.454494,"1","1",16.454494,16.454494,0,16.454494,16.454494,16.454494,0,16.454494,16.454494,16.454494,16.454494,0
29.458640,"1","1",29.45864,29.45864,0,29.45864,29.45864,29.45864,0,29.45864,29.45864,29.45864,29.45864,0
5.908730,"1","1",5.90873,5.90873,0,5.90873,5.90873,5.90873,0,5.90873,5.90873,5.90873,5.90873,0
4.938302,"1","1",4.938302,4.938302,0,4.938302,4.938302,4.938302,0,4.938302,4.938302,4.938302,4.938302,0
5.769450,"1","1",5.76945,5.76945,0,5.76945,5.76945,5.76945,0,5.76945,5.76945,5.76945,5.76945,0
0.091864,"1","1",0.091864,0.091864,0,0.091864,0.091864,0.091864,0,0.091864,0.091864,0.091864,0.091864,0
69.271404,"1","1",69.271404,69.271404,0,69.271404,69.271404,69.271404,0,69.271404,69.271404,69.271404,69.271404,0
2.362410,"1","1",2.36241,2.36241,0,2.36241,2.36241,2.36241,0,2.36241,2.36241,2.36241,2.36241,0
3.357517,"1","1",3.357517,3.357517,0,3.357517,3.357517,3.357517,0,3.357517,3.357517,3.357517,3.357517,0
0.054210,"1","1",0.05421,0.05421,0,0.05421,0.05421,0.05421,0,0.05421,0.05421,0.05421,0.05421,0
18.990429,"1","1",18.990429,18.990429,0,18.990429,18.990429,18.990429,0,18.990429,18.990429,18.990429,18.990429,0
7.105827,"1","1",7.105827,7.105827,0,7.105827,7.105827,7.105827,0,7.105827,7.105827,7.105827,7.105827,0
22.230625,"1","1",22.230625,22.230625,0,22.230625,22.230625,22.230625,0,22.230625,22.230625,22.230625,22.230625,0
22.214051,"1","1",22.214051,22.214051,0,22.214051,22.214051,22.214051,0,22.214051,22.214051,22.214051,22.214051,0
35.480456,"1","1",35.480456,35.480456,0,35.480456,35.480456,35.480456,0,35.480456,35.480456,35.480456,35.480456,0
0.010035,"1","1",0.010035,0.010035,0,0.010035,0.010035,0.010035,0,0.010035,0.010035,0.010035,0.010035,0
1.169556,"1","1",1.169556,1.169556,0,1.169556,1.169556,1.169556,0,1.169556,1.169556,1.169556,1.169556,0
8.387418,"1","1",8.387418,8.387418,0,8.387418,8.387418,8.387418,0,8.387418,8.387418,8.387418,8.387418,0
0.691025,"1","1",0.691025,0.691025,0,0.691025,0.691025,0.691025,0,0.691025,0.691025,0.691025,0.691025,0
327.343888,"1","1",327.343888,327.343888,0,327.343888,327.343888,327.343888,0,327.343888,327.343888,327.343888,327.343888,0
0.387527,"1","1",0.387527,0.387527,0,0.387527,0.387527,0.387527,0,0.387527,0.387527,0.387527,0.387527,0
1.298445,"1","1",1.298445,1.298445,0,1.298445,1.298445,1.298445,0,1.298445,1.298445,1.298445,1.298445,0
0.002780,"1","1",0.00278,0.00278,0,0.00278,0.00278,0.00278,0,0.00278,0.00278,0.00278,0.00278,0
27.533018,"1","1",27.533018,27.533018,0,27.533018,27.533018,27.533018,0,27.533018,27.533018,27.533018,27.533018,0
996.586965,"1","1",996.586965,996.586965,0,996.586965,996.586965,996.586965,0,996.586965,996.586965,996.586965,996.586965,0
159.168519,"1","1",159.168519,159.168519,0,159.168519,159.168519,159.168519,0,159.168519,159.168519,159.168519,159.168519,0
110.972485,"1","1",110.972485,110.972485,0,110.972485,110.972485,110.972485,0,110.972485,110.972485,110.972485,110.972485,0
17.213801,"1","1",17.213801,17.213801,0,17.213801,17.213801,17.213801,0,17.213801,17.213801,17.213801,17.213801,0
10.820178,"1","1",10.820178,10.820178,0,10.820178,10.820178,10.820178,0,10.820178,10.820178,10.820178,10.820178,0
2.351242,"1","1",2.351242,2.351242,0,2.351242,2.351242,2.351242,0,2.351242,2.351242,2.351242,2.351242,0
243.719011,"1","1",243.719011,243.719011,0,243.719011,243.719011,243.719011,0,243.719011,243.719011,243.719011,243.719011,0
3.022925,"1","1",3.022925,3.022925,0,3.022925,3.022925,3.022925,0,3.022925,3.022925,3.022925,3.022925,0
16.716334,"1","1",16.716334,16.716334,0,16.716334,16.716334,16.716334,0,16.716334,16.716334,16.716334,16.716334,0
0.160770,"1","1",0.16077,0.16077,0,0.16077,0.16077,0.16077,0,0.16077,0.16077,0.16077,0.16077,0
40.623027,"1","1",40.623027,40.623027,0,40.623027,40.623027,40.623027,0,40.623027,40.623027,40.623027,40.623027,0
4.035314,"1","1",4.035314,4.035314,0,4.035314,4.035314,4.035314,0,4.035314,4.035314,4.035314,4.035314,0
9.263826,"1","1",9.263826,9.263826,0,9.263826,9.263826,9.263826,0,9.263826,9.263826,9.263826,9.263826,0
0.552089,"1","1",0.552089,0.552089,0,0.552089,0.552089,0.552089,0,0.552089,0.552089,0.552089,0.552089,0
9.292134,"1","1",9.292134,9.292134,0,9.292134,9.292134,9.292134,0,9.292134,9.292134,9.292134,9.292134,0
19.199970,"1","1",19.19997,19.19997,0,19.19997,19.19997,19.19997,0,19.19997,19.19997,19.19997,19.19997,0
0.273791,"1","1",0.273791,0.273791,0,0.273791,0.273791,0.273791,0,0.273791,0.273791,0.273791,0.273791,0
19.976112,"1","1",19.976112,19.976112,0,19.976112,19.976112,19.976112,0,19.976112,19.976112,19.976112,19.976112,0
102.817030,"1","1",102.81703,102.81703,0,102.81703,102.81703,102.81703,0,102.81703,102.81703,102.81703,102.81703,0
8.172127,"1","1",8.172127,8.172127,0,8.172127,8.172127,8.172127,0,8.172127,8.172127,8.172127,8.172127,0
